Equipo,Logo,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Tigres de la U.A.N.L.,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11186/11186.png,0,1,5,5,5,7,13,22,26,27,30,34,34,41,49,51,55,56,58,60,62,64,70,72,72,76,79,81,88,90,92,94,98,101,103,107,109,112,116,119,119,121,122,123,126,131,138,143,145,145,152,153,155,158,159,163,167,167,167,171,174,175,177,178,178,179,181,181,183,183,185,185,188,192,194,197,197,201,203,205,207,211,213,214,216,220,222,222,223,224,226,228,232,235,241,244,244
América,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11191/11191.png,0,6,11,11,12,17,19,24,25,26,34,36,42,45,52,55,56,59,60,63,67,74,75,81,82,83,85,86,90,93,105,106,106,108,111,113,114,114,117,117,119,119,120,123,124,126,128,130,132,134,134,137,140,141,142,142,142,144,146,146,147,149,151,156,158,162,162,163,163,163,163,166,167,170,172,174,175,177,177,182,184,184,185,188,189,190,192,195,197,200,201,202,206,208,208,208,208
Atlas,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11245/11245.png,0,0,0,0,0,3,6,10,10,10,14,15,17,19,20,21,22,24,28,28,28,29,31,31,32,32,33,34,35,36,39,39,39,39,41,46,48,48,49,50,54,56,56,57,58,61,61,62,63,67,70,72,73,77,78,78,81,81,84,86,88,90,93,95,95,97,97,99,105,106,106,107,108,114,116,116,118,120,123,123,125,129,130,130,132,133,134,137,140,141,145,145,147,149,151,152,152
Rayados de Monterrey,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11185/11185.png,0,0,3,7,12,14,16,18,20,22,25,27,31,33,37,37,38,45,51,51,53,61,65,67,69,73,74,81,83,89,90,90,90,94,95,95,97,105,106,107,109,109,111,116,119,123,125,125,126,128,128,133,137,139,140,146,147,148,149,149,152,157,158,158,161,165,168,171,172,174,178,180,186,188,190,192,196,200,205,209,209,212,214,215,218,221,223,223,225,227,230,232,234,236,238,238,238
Pachuca,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11184/11184.png,0,6,12,18,21,23,26,35,36,40,40,41,43,45,46,50,54,54,54,56,58,59,66,66,69,69,70,74,78,82,83,86,88,90,90,91,93,93,94,96,97,100,103,104,107,110,110,113,116,117,121,121,124,127,130,130,133,133,136,137,139,141,142,144,144,146,147,150,154,155,157,161,163,164,165,168,171,173,176,176,177,182,182,185,188,191,192,195,196,197,200,201,202,203,208,210,210
Guadalajara,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11182/11182.png,0,1,1,3,6,6,7,10,11,17,20,21,22,23,29,30,32,36,37,39,41,44,48,49,52,54,55,56,59,59,64,66,67,69,72,72,73,78,78,79,79,84,86,89,90,93,94,94,95,96,98,98,98,99,100,101,101,101,102,104,105,106,106,108,109,109,110,113,114,116,119,120,121,121,121,122,125,129,131,133,134,136,137,139,140,141,143,145,145,149,151,151,152,156,156,157,159
Cruz Azul,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11181/11181.png,0,0,0,0,1,1,2,3,4,7,7,7,7,7,8,9,9,9,10,11,11,12,12,13,14,14,14,14,14,15,15,18,19,22,22,22,22,22,23,23,23,23,25,25,25,25,25,28,28,30,32,32,34,35,35,35,37,38,41,42,42,43,45,45,46,48,48,48,51,54,56,58,58,59,59,60,63,63,63,66,68,72,72,73,73,74,76,78,79,79,81,81,82,85,86,87,87
Universidad Nacional,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11188/11188.png,0,4,5,7,7,8,11,14,18,18,21,22,25,26,27,31,31,31,31,34,34,37,38,40,41,44,44,46,48,49,49,49,49,49,51,51,52,53,53,55,55,59,59,62,62,63,63,65,68,69,71,71,73,73,74,75,75,78,78,81,81,81,81,82,83,85,88,88,90,92,93,93,94,94,94,94,98,98,98,100,101,101,102,103,104,105,106,106,108,110,112,113,114,114,118,118,118
Puebla F.C.,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11543/11543.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,6,6,6,9,9,10,13,15,16,18,21,21,24,25,26,26,27,27,29,29,29,29,30,30,30,32,32,33,36,36,37,38,38,39,39,39,42,42,44,44,44,45,48,50,50,51,51,51,51,54,54,57,58,60,60,60,61,62,63,63,63
León,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11243/11243.png,0,0,0,0,1,1,2,2,5,8,9,14,14,15,16,16,18,18,19,20,21,21,22,24,24,26,28,32,34,36,38,38,38,39,40,40,41,43,44,44,45,48,49,50,50,50,53,54,55,58,58,60,62,62,62,63,64,65,67,68,69,72,72,74,75,76,76,79,80,81,81,82,84,84,85,85,86,89,89,91,93,94,94,94,96,99,102,103,103,106,106,111,114,114,116,119,120
Monarcas Morelia,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11183/11183.png,0,1,3,4,6,6,6,6,8,8,8,9,10,12,13,13,14,14,16,16,16,16,17,18,19,19,19,19,20,21,22,22,23,24,25,25,25,26,26,27,27,27,30,30,31,31,32,33,36,37,38,39,42,43,43,43,43,46,48,48,50,50,53,53,55,55,55,57,57,59,61,62,65,66,68,70,72,75,76,76,77,77,79,79,82,84,87,89,91,92,92,93,96,97,97,98,101
Club Tijuana,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11180/11180.png,0,2,4,6,6,8,8,11,14,14,15,17,17,18,19,20,22,23,25,25,26,26,26,26,27,28,28,28,30,30,30,34,35,36,37,38,38,39,40,40,40,41,41,41,41,42,43,44,44,44,44,46,46,47,47,48,48,48,48,48,49,51,51,52,52,54,54,54,54,55,55,56,58,59,63,63,66,67,71,71,73,74,76,79,79,79,81,84,85,85,86,88,90,91,93,96,96
Necaxa,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11189/11189.png,0,2,2,3,5,5,5,6,6,7,7,9,9,9,9,10,11,11,11,13,14,14,14,16,16,16,18,20,20,21,21,21,21,21,21,21,21,22,22,22,23,24,24,24,26,26,26,26,26,26,26,27,27,28,28,29,30,30,31,31,31,31,32,33,33,34,35,35,36,36,36,36,36,36,36,36,36,36,38,38,38,38,39,39,40,40,41,41,43,45,46,47,48,51,51,51,51
Club Atlético de San Luis,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11778/11778.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,6,6,6,6,6,7,7,8,9,9,10,10,10,11,14,15,17,17,17,18,19,20,20,20
Toluca,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11187/11187.png,0,2,5,6,8,9,10,13,13,17,19,20,21,21,24,26,28,32,34,35,37,40,42,43,43,44,45,48,51,51,53,54,58,59,59,64,66,68,68,75,77,79,80,80,83,83,86,87,91,91,92,93,93,95,95,95,96,97,97,99,100,100,100,100,101,103,103,105,108,112,112,113,114,116,117,117,117,118,118,119,120,123,125,127,127,127,129,129,131,132,133,134,134,135,136,136,136
FC Juárez,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11795/11795.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,4,4,5,5,6,7,7,7,8,8,8,8,8,10,10,10,11,12,15,15,15
Santos Laguna,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11192/11192.png,0,0,3,3,5,7,7,8,9,9,9,11,12,13,13,13,14,14,16,19,19,20,21,22,24,26,28,29,33,34,34,35,36,37,38,39,40,41,41,41,42,43,45,46,46,48,48,49,49,49,50,51,51,52,52,52,56,56,56,59,61,64,64,66,66,66,66,68,69,72,74,74,74,75,77,77,77,79,80,80,80,83,83,84,84,85,85,86,88,90,90,90,91,92,93,93,93
Gallos Blancos de Querétaro,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11244/11244.png,0,0,0,0,0,1,2,3,5,5,7,7,10,10,12,13,15,19,20,21,21,24,26,30,31,31,32,33,33,37,39,40,42,42,44,44,47,47,47,49,49,50,50,51,51,53,54,55,55,56,57,57,57,57,61,62,63,64,64,65,65,67,69,70,71,72,72,73,75,77,79,80,81,81,82,84,84,85,86,86,87,87,87,88,88,88,88,88,89,89,89,89,90,93,93,93,93
Tiburones Rojos de Veracruz,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11242/11242.png,0,0,0,0,1,1,1,3,3,4,5,5,6,7,7,7,7,8,9,10,10,10,11,11,12,12,14,15,16,18,18,18,18,19,19,19,21,23,23,24,26,27,27,27,27,27,29,29,31,32,33,34,35,35,35,35,35,37,37,39,39,40,40,40,40,40,41,42,44,45,47,48,49,50,50,50,50,50,50,51,52,52,52,54,57,58,59,59,59,59,59,59,59,59,59,59,59
Lobos BUAP,https://s3.amazonaws.com/lmxwebsite/docs/archdgtl/AfldDrct/logos35x35/11542/11542.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,6,6,6,7,9,12,12,14,14,15,17,17,18,19,22,22,23,23,26,26,26,27,27,27,28,30,32,34,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
